dev_id,time,no2,pm25,o3,humdity,so2,status,vin,no2_o3,temperature,co
0004a30b0024358c,2019-01-11T14:02:23.431257798Z,16,0,0,21,35,0,12,9,23.8,0
0004a30b0024358c,2019-01-11T22:30:22.334778554Z,14,0.9,0,21,41,0,12,9,25.1,0
0004a30b0024358c,2019-01-11T22:31:22.856337518Z,15,1.1,0,21,43,0,12,9,25.1,0
0004a30b0024358c,2019-01-11T22:32:22.37491994Z,14,1.1,0,21,41,0,12,9,25.1,0
0004a30b0024358c,2019-01-11T22:33:22.875211716Z,12,1.1,0,21,39,0,12,9,25.1,0
0004a30b0024358c,2019-01-11T22:34:22.397350353Z,15,1,0,21,45,0,12,9,25.1,0
0004a30b0024358c,2019-01-11T22:35:22.909063099Z,14,1.1,0,21,44,0,12,9,25.1,0
0004a30b0024358c,2019-01-11T22:36:22.428006832Z,14,1.1,0,21,36,0,12,9,25.1,0
0004a30b0024358c,2019-01-11T22:37:22.94008469Z,15,0.7,0,21,45,0,12,8,25.1,0
0004a30b0024358c,2019-01-11T22:38:22.472345054Z,15,0.9,0,21,44,0,12,9,25.1,0
0004a30b0024358c,2019-01-11T22:39:22.974829802Z,14,0.9,0,21,43,0,12,9,25,0
0004a30b0024358c,2019-01-11T22:40:22.49051443Z,15,1,0,21,44,0,12,9,25,0
0004a30b0024358c,2019-01-11T22:41:23.000770728Z,14,1.1,0,21,45,0,12,9,25,0
0004a30b0024358c,2019-01-11T22:42:22.523191833Z,15,1.1,0,21,38,0,12,8,25,0
0004a30b0024358c,2019-01-11T22:43:23.031055949Z,14,1.1,0,21,45,0,12,10,25,0
0004a30b0024358c,2019-01-11T22:44:22.552228046Z,14,1.1,0,21,48,0,12,10,25,0
0004a30b0024358c,2019-01-11T22:45:23.127063129Z,14,1.1,0,21,45,0,12,8,25,0
0004a30b0024358c,2019-01-11T22:46:22.593278448Z,14,1.1,0,21,41,0,12,9,25,0
0004a30b0024358c,2019-01-11T22:47:23.114702003Z,14,1.1,0,21,43,0,12,8,25,0
0004a30b0024358c,2019-01-11T22:48:22.622023752Z,14,1.1,0,21,44,0,12,9,25,0
0004a30b0024358c,2019-01-11T22:49:22.141329489Z,15,1.1,0,21,43,0,12,9,25,0
0004a30b0024358c,2019-01-11T22:50:22.650438745Z,15,1.1,0,21,47,0,12,9,25,0
0004a30b0024358c,2019-01-11T22:51:22.167971024Z,14,1.1,0,21,43,0,12,9,25,0
0004a30b0024358c,2019-01-11T22:52:22.680555393Z,14,1.2,0,21,41,0,12,9,25,0
0004a30b0024358c,2019-01-11T22:53:22.199994834Z,14,1.1,0,21,41,0,12,8,25,0
0004a30b0024358c,2019-01-11T22:54:22.701834656Z,14,1.1,0,21,38,0,12,10,25,0
0004a30b0024358c,2019-01-11T22:55:22.23002408Z,14,1.1,0,21,43,0,12,9,25,0
